1        | Kiara_Shah_310                 | Subject: Computing                               |  Score: 95              | Grade: AA             
2        | Kabir_Mehta_305                | Subject: Computing                               |  Score: 95              | Grade: AA             
3        | Zain_Siddiqui_302              | Subject: Computing                               |  Score: 94              | Grade: AA             
4        | Riya_Deshmukh_316              | Subject: Computing                               |  Score: 94              | Grade: AA             
5        | Varun_Verma_319                | Subject: Computing                               |  Score: 91              | Grade: AA             
6        | Vihaan_Roy_313                 | Subject: Computing                               |  Score: 91              | Grade: AA             
7        | Anaya_Reddy_306                | Subject: Computing                               |  Score: 84              | Grade: AB             
8        | Sara_Khan_320                  | Subject: Computing                               |  Score: 84              | Grade: AB             
9        | Ishani_Gupta_318               | Subject: Computing                               |  Score: 84              | Grade: AB             
10       | Aryan_Kulkarni_301             | Subject: Computing                               |  Score: 82              | Grade: AB             
11       | Isha_Malhotra_304              | Subject: Computing                               |  Score: 76              | Grade: BB             
12       | Mehak_Gill_312                 | Subject: Computing                               |  Score: 76              | Grade: BB             
13       | Sanya_Malik_308                | Subject: Computing                               |  Score: 74              | Grade: BB             
14       | Priya_Nair_314                 | Subject: Computing                               |  Score: 66              | Grade: BC             
15       | Rishi_Iyer_307                 | Subject: Computing                               |  Score: 56              | Grade: CC             
16       | Dev_Chopra_311                 | Subject: Computing                               |  Score: 44              | Grade: CD             
17       | Samrat_Singh_317               | Subject: Computing                               |  Score: 44              | Grade: CD             
18       | Arnav_Bose_309                 | Subject: Computing                               |  Score: 38              | Grade: DD             
19       | Tanish_Patel_303               | Subject: Computing                               |  Score: 35              | Grade: DD             
20       | Advait_Pandey_315              | Subject: Computing                               |  Score: 18              | Grade: DD             
-----------------------------------
CLASS AVERAGE: 71.050
