1        | Kiara_Shah_310                 | Subject: Economics                               |  Score: 99              | Grade: AA             
2        | Kabir_Mehta_305                | Subject: Economics                               |  Score: 94              | Grade: AA             
3        | Zain_Siddiqui_302              | Subject: Economics                               |  Score: 92              | Grade: AA             
4        | Riya_Deshmukh_316              | Subject: Economics                               |  Score: 92              | Grade: AA             
5        | Aryan_Kulkarni_301             | Subject: Economics                               |  Score: 90              | Grade: AA             
6        | Anaya_Reddy_306                | Subject: Economics                               |  Score: 90              | Grade: AA             
7        | Varun_Verma_319                | Subject: Economics                               |  Score: 88              | Grade: AB             
8        | Vihaan_Roy_313                 | Subject: Economics                               |  Score: 88              | Grade: AB             
9        | Sara_Khan_320                  | Subject: Economics                               |  Score: 88              | Grade: AB             
10       | Ishani_Gupta_318               | Subject: Economics                               |  Score: 80              | Grade: AB             
11       | Isha_Malhotra_304              | Subject: Economics                               |  Score: 80              | Grade: AB             
12       | Mehak_Gill_312                 | Subject: Economics                               |  Score: 80              | Grade: AB             
13       | Sanya_Malik_308                | Subject: Economics                               |  Score: 70              | Grade: BB             
14       | Priya_Nair_314                 | Subject: Economics                               |  Score: 70              | Grade: BB             
15       | Rishi_Iyer_307                 | Subject: Economics                               |  Score: 60              | Grade: BC             
16       | Dev_Chopra_311                 | Subject: Economics                               |  Score: 40              | Grade: CD             
17       | Samrat_Singh_317               | Subject: Economics                               |  Score: 40              | Grade: CD             
18       | Arnav_Bose_309                 | Subject: Economics                               |  Score: 32              | Grade: DD             
19       | Tanish_Patel_303               | Subject: Economics                               |  Score: 22              | Grade: DD             
20       | Advait_Pandey_315              | Subject: Economics                               |  Score: 22              | Grade: DD             
-----------------------------------
CLASS AVERAGE: 70.850
