1        | Aarav_Sharma                   | Subject: Mathematics                             |  Score: 98              | Grade: AA             
2        | Priya_Iyer                     | Subject: Mathematics                             |  Score: 98              | Grade: AA             
3        | Vikram_Reddy                   | Subject: Mathematics                             |  Score: 98              | Grade: AA             
4        | Ananya_Nair                    | Subject: Mathematics                             |  Score: 98              | Grade: AA             
5        | Kritika_Singh                  | Subject: Mathematics                             |  Score: 96              | Grade: AA             
6        | Yash_Gupta                     | Subject: Mathematics                             |  Score: 95              | Grade: AA             
7        | Ishaan_Verma                   | Subject: Mathematics                             |  Score: 94              | Grade: AA             
8        | Zoya_Hashmi                    | Subject: Mathematics                             |  Score: 92              | Grade: AA             
9        | Rahul_Deshmukh                 | Subject: Mathematics                             |  Score: 60              | Grade: BC             
10       | Aditya_Sen                     | Subject: Mathematics                             |  Score: 52              | Grade: CC             
11       | Divya_Sarin                    | Subject: Mathematics                             |  Score: 48              | Grade: CD             
12       | Siddharth_Joshi                | Subject: Mathematics                             |  Score: 48              | Grade: CD             
13       | Kabir_Malhotra                 | Subject: Mathematics                             |  Score: 42              | Grade: CD             
14       | Sneha_Kapoor                   | Subject: Mathematics                             |  Score: 42              | Grade: CD             
15       | Rohan_Bansal                   | Subject: Mathematics                             |  Score: 41              | Grade: CD             
16       | Meera_Chopra                   | Subject: Mathematics                             |  Score: 40              | Grade: CD             
17       | Neha_Mehta                     | Subject: Mathematics                             |  Score: 39              | Grade: DD             
18       | Tanya_Bose                     | Subject: Mathematics                             |  Score: 39              | Grade: DD             
19       | Arjun_Patel                    | Subject: Mathematics                             |  Score: 35              | Grade: DD             
20       | Amit_Khanna                    | Subject: Mathematics                             |  Score: 35              | Grade: DD             
-----------------------------------
CLASS AVERAGE: 64.500
