Subject: Mathematics                    | Topper: Aarav_Sharma                   | Score: 98
Subject: Mathematics                    | Topper: Priya_Iyer                     | Score: 98
Subject: Mathematics                    | Topper: Vikram_Reddy                   | Score: 98
Subject: Mathematics                    | Topper: Ananya_Nair                    | Score: 98
Subject: Physics                        | Topper: Aarav_Sharma                   | Score: 97
Subject: Physics                        | Topper: Priya_Iyer                     | Score: 97
Subject: Physics                        | Topper: Vikram_Reddy                   | Score: 97
Subject: Physics                        | Topper: Kabir_Malhotra                 | Score: 97
Subject: Chemistry                      | Topper: Aarav_Sharma                   | Score: 99
Subject: Chemistry                      | Topper: Priya_Iyer                     | Score: 99
Subject: Chemistry                      | Topper: Vikram_Reddy                   | Score: 99
Subject: Programming                    | Topper: Aarav_Sharma                   | Score: 98
Subject: Programming                    | Topper: Priya_Iyer                     | Score: 98
Subject: Programming                    | Topper: Vikram_Reddy                   | Score: 98
Subject: English                        | Topper: Aarav_Sharma                   | Score: 96
Subject: English                        | Topper: Priya_Iyer                     | Score: 96
Subject: English                        | Topper: Vikram_Reddy                   | Score: 96
